"Région - Code de la zone";"Région - Libellé de la zone";"Libéllé Région";"Département - Code de la zone";"Département - Libellé de la zone";"Libéllé Département";"EPCI - Code de la zone";"EPCI - Libellé de la zone";"Libéllé EPCI";"Droit - Code";"Droit - Libellé";"Code Commune - Code de la zone";"Code Commune - Libellé de la zone";"Code Postal";"Libéllé Commune";"Numéro de voie";"Indice de répétition";"Type de voie";"Nom de voie";"Etage";"Nom du Programme";"Lieu Dit";"Situation en QPV - Code";"Situation en QPV - Libellé";"Type de construction - Code";"Type de construction - Libellé";"Nombre de pièces";"Surface habitable";"Année de construction";"Année de première mise en location";"Année d’entrée dans le patrimoine";"Origine de l’entrée dans le patrimoine";"Financement initial - Code";"Financement initial - Libellé";"Complément du financement";"Convention APL";"Numéro de Convention";"Date de convention";"Code logement issu d’une fusion - Code";"Code logement issu d’une fusion - Libellé";"Catégorie financement CUS";"Date du DPE";"Etiquette DPE Energie";"Etiquette DPE GES";"Année expiration de la convention";"Alinéa SRU";"Code segment patrimoine";"Libellé gestion patrimoine";"Accessibilité PMR - Code";"Accessibilité PMR - Libellé";"Libellé de la voie dans le référentiel INSEE";"Système de coordonnées utilisée";"Coordonnée X";"Coordonnée Y";"Code QPV 2024";"Code QPV 2015";"Code IRIS";"Code ZUS";"Code QVA";"Qualité de la géolocalisation de la voie";"Qualité de la géolocalisation du numéro";"Qualité de la géolocalisation";"Erreur maximum de positionnement";"Qualité du géocodage pour le QPV 2024";"Qualité du géocodage pour le QPV 2015";"Qualité du géocodage pour l'IRIS";"Qualité du géocodage pour le ZUS";"Qualité du géocodage pour le QVA";"Indicatrice de présence d'un QPV dans la commune";"Indicatrice de présence d'une ZUS";"Unité Urbaine base 2020";"Aire d'attraction des villes base 2020";"Zone d'emploi base 2020";"PLG_CODE_COMMUNE2022"
"REG_CODE";"REG_LIBELLE";"LIBREG";"DEP_CODE";"DEP_LIBELLE";"LIBDEP";"EPCI_CODE";"EPCI_LIBELLE";"LIBEPCI";"DROIT_CODE";"DROIT_LIBELLE";"DEPCOM_CODE";"DEPCOM_LIBELLE";"CODEPOSTAL";"LIBCOM";"NUMVOIE";"INDREP";"TYPVOIE";"NOMVOIE";"ETAGE";"COMPLGEO";"LIEUDIT";"QPV_CODE";"QPV_LIBELLE";"TYPECONST_CODE";"TYPECONST_LIBELLE";"NBPIECE";"SURFHAB";"CONSTRUCT";"LOCAT";"PATRIMOINE";"ORIGINE";"FINAN_CODE";"FINAN_LIBELLE";"FINANAUTRE";"CONV";"NUMCONV";"DATCONV";"NEWLOGT_CODE";"NEWLOGT_LIBELLE";"CUS";"DPEDATE";"DPEENERGIE";"DPESERRE";"SRU_EXPIR";"SRU_ALINEA";"CODSEGPATRIM";"LIBSEGPATRIM";"PMR_CODE";"PMR_LIBELLE";"PLG_VOIE";"EPSG";"X";"Y";"PLG_QP24";"PLG_QP15";"PLG_IRIS2023";"PLG_ZUS";"PLG_QVA";"QUALITE_VOIE";"QUALITE_NUMERO";"QUALITE_XY";"DISTANCE_PRECISION";"QUALITE_QP24";"QUALITE_QP15";"QUALITE_IRIS";"QUALITE_ZUS";"QUALITE_QVA";"COMAQP";"COMAZUS";"UU2020";"AAV2020";"ZE2020";"PLG_CODE_COMMUNE2022"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"03";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"03";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"04";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"04";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"04";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"05";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"05";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"3";;"AVENUE";"LEON JOUHAUX";"05";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661910.47;6868803.12;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"00";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";3;58;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"00";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";3;54;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"01";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"01";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"01";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"02";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"02";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"02";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"03";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"03";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"03";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"04";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"04";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"04";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"05";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"05";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"5";;"AVENUE";"LEON JOUHAUX";"05";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661924.62;6868801.46;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"7";;"AVENUE";"LEON JOUHAUX";"00";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";3;58;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661943.47;6868798.98;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"7";;"AVENUE";"LEON JOUHAUX";"00";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";3;54;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661943.47;6868798.98;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"7";;"AVENUE";"LEON JOUHAUX";"01";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;43;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661943.47;6868798.98;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"7";;"AVENUE";"LEON JOUHAUX";"01";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661943.47;6868798.98;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
"11";"Île-de-France";"Île-de-France";"93";"Seine-Saint-Denis";"Seine-Saint-Denis";"200054781";"Métropole du Grand Paris";"Métropole du Grand Paris";"1";"pleine propriété";"93010";"Bondy";"93140";"BONDY";"7";;"AVENUE";"LEON JOUHAUX";"01";"BONDY 3 NOUE CAILL";;"2";"Non";"C";"collectif";2;44;"1964";"1965";"1965";"1";"99";"autre financement av. 1977";"PALULOS";"1";"931988AC086";"1988-12-06";"";"";;"2023-04";"D";"D";"2009";"1";"1067L";"BONDY 3 NOUE CAILL";"00";"Logement non accessible et non adapté aux fauteuils roulants";"AV LEON JOUHAUX";"2154";661943.47;6868798.98;"HZ";"HZ";"930100101";"1127020";"CSZ";"1";"1";"11";;"1";"1";"1";"1";;"1";"1";"00851";"001";"1109";"93010"
